Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,media,OD,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Serovar,source_name,SRA Study,sub_species
SRR22392861,RNA-Seq,101,1635523098,PRJNA904727,SAMN31851805,520450535,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,LEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362921,NextSeq 2000,GSM6753676,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 1.0,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:28:00Z,1,GSM6753676,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392862,RNA-Seq,101,1730023950,PRJNA904727,SAMN31851806,559804359,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362920,NextSeq 2000,GSM6753675,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:28:00Z,1,GSM6753675,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392863,RNA-Seq,101,1296237838,PRJNA904727,SAMN31851807,421259616,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362919,NextSeq 2000,GSM6753674,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:27:00Z,1,GSM6753674,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392864,RNA-Seq,101,1046511399,PRJNA904727,SAMN31851808,373706815,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362918,NextSeq 2000,GSM6753673,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753673,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392865,RNA-Seq,101,1064352847,PRJNA904727,SAMN31851809,340693736,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362917,NextSeq 2000,GSM6753672,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753672,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392866,RNA-Seq,101,872578794,PRJNA904727,SAMN31851810,277828498,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362916,NextSeq 2000,GSM6753671,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753671,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392867,RNA-Seq,101,1053300619,PRJNA904727,SAMN31851811,339280358,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362915,NextSeq 2000,GSM6753670,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753670,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392868,RNA-Seq,101,1277971281,PRJNA904727,SAMN31851812,407258508,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362914,NextSeq 2000,GSM6753669,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:27:00Z,1,GSM6753669,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392869,RNA-Seq,101,1023453301,PRJNA904727,SAMN31851885,332461873,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362913,NextSeq 2000,GSM6753596,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753596,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392870,RNA-Seq,101,1258787846,PRJNA904727,SAMN31851886,405277375,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362912,NextSeq 2000,GSM6753595,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:27:00Z,1,GSM6753595,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392871,RNA-Seq,101,1055760777,PRJNA904727,SAMN31851887,355030227,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362911,NextSeq 2000,GSM6753594,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753594,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392872,RNA-Seq,101,907511058,PRJNA904727,SAMN31851888,290448515,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362910,NextSeq 2000,GSM6753593,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753593,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392873,RNA-Seq,101,1119533793,PRJNA904727,SAMN31851889,373629119,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362909,NextSeq 2000,GSM6753592,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753592,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392874,RNA-Seq,101,751357786,PRJNA904727,SAMN31851890,240438132,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362908,NextSeq 2000,GSM6753591,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:25:00Z,1,GSM6753591,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392875,RNA-Seq,101,1020598637,PRJNA904727,SAMN31851891,338668003,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362907,NextSeq 2000,GSM6753590,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753590,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392876,RNA-Seq,101,1334110717,PRJNA904727,SAMN31851892,432492424,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362906,NextSeq 2000,GSM6753589,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:27:00Z,1,GSM6753589,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392877,RNA-Seq,101,941633403,PRJNA904727,SAMN31851901,308603618,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,MEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362905,NextSeq 2000,GSM6753580,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.3,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753580,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392878,RNA-Seq,101,826956791,PRJNA904727,SAMN31851902,277672753,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362904,NextSeq 2000,GSM6753579,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753579,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392879,RNA-Seq,101,492385201,PRJNA904727,SAMN31851903,160938703,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362903,NextSeq 2000,GSM6753578,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:25:00Z,1,GSM6753578,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392880,RNA-Seq,101,1846602089,PRJNA904727,SAMN31851904,586132429,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362902,NextSeq 2000,GSM6753577,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:29:00Z,1,GSM6753577,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392881,RNA-Seq,101,765486474,PRJNA904727,SAMN31851905,246365149,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362901,NextSeq 2000,GSM6753576,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:25:00Z,1,GSM6753576,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392882,RNA-Seq,101,381038054,PRJNA904727,SAMN31851906,130462422,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362900,NextSeq 2000,GSM6753575,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:24:00Z,1,GSM6753575,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392883,RNA-Seq,101,1549962463,PRJNA904727,SAMN31851907,514726455,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362899,NextSeq 2000,GSM6753574,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:28:00Z,1,GSM6753574,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392884,RNA-Seq,101,725165961,PRJNA904727,SAMN31851908,245024499,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362898,NextSeq 2000,GSM6753573,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:25:00Z,1,GSM6753573,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392885,RNA-Seq,101,1235911952,PRJNA904727,SAMN31851933,395155501,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362897,NextSeq 2000,GSM6753548,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:27:00Z,1,GSM6753548,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392886,RNA-Seq,101,759828050,PRJNA904727,SAMN31851934,236943321,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362896,NextSeq 2000,GSM6753547,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:25:00Z,1,GSM6753547,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392887,RNA-Seq,101,1065567877,PRJNA904727,SAMN31851935,343841054,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362895,NextSeq 2000,GSM6753546,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753546,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392888,RNA-Seq,101,595349954,PRJNA904727,SAMN31851936,190428404,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362894,NextSeq 2000,GSM6753545,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:25:00Z,1,GSM6753545,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392889,RNA-Seq,101,756648974,PRJNA904727,SAMN31851937,235819177,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362893,NextSeq 2000,GSM6753544,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:25:00Z,1,GSM6753544,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392890,RNA-Seq,101,966664435,PRJNA904727,SAMN31851938,311575879,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362892,NextSeq 2000,GSM6753543,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:26:00Z,1,GSM6753543,Typhimurium,bacterial cell,SRP409450,enterica
SRR22392891,RNA-Seq,101,439152949,PRJNA904727,SAMN31851939,140161089,bacterial cell,HELMHOLTZ INSTITUTE FOR RNA-BASED INFECTION RESEARCH,EEP,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18362891,NextSeq 2000,GSM6753542,SINGLE,cDNA,TRANSCRIPTOMIC SINGLE CELL,Lennox broth media,OD 0.1,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2023-02-09T00:00:00Z,2022-11-23T11:24:00Z,1,GSM6753542,Typhimurium,bacterial cell,SRP409450,enterica
